               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.020125,           0.0064204,                   0,             0.99787,              0.9998,             0.99484,             0.86238,            0.010794,           0.0030648,                   0,             0.06701,          0.00033323,          0.00033323
                   1,            0.013793,           0.0042082,                   0,             0.99549,             0.99967,              0.9948,             0.91089,           0.0081986,           0.0025276,                   0,            0.034003,          0.00065935,          0.00065935
                   2,            0.012758,           0.0040363,                   0,              0.9974,             0.99982,             0.99491,             0.92065,           0.0076732,           0.0024132,                   0,          0.00096752,          0.00095711,          0.00095711
                   3,             0.01208,           0.0038992,                   0,             0.99787,             0.99982,             0.99498,             0.92685,           0.0074023,            0.002332,                   0,          0.00090546,          0.00090546,          0.00090546
                   4,            0.011687,           0.0038287,                   0,             0.99814,             0.99985,             0.99498,             0.92801,           0.0073263,           0.0023112,                   0,          0.00090546,          0.00090546,          0.00090546
                   5,            0.011309,           0.0037258,                   0,             0.99825,             0.99989,             0.99498,             0.92961,            0.007334,           0.0023001,                   0,          0.00083622,          0.00083622,          0.00083622
                   6,            0.011005,           0.0036363,                   0,             0.99875,             0.99983,             0.99498,             0.93145,           0.0073983,           0.0022973,                   0,           0.0007525,           0.0007525,           0.0007525
                   7,            0.010686,           0.0035616,                   0,             0.99888,             0.99995,             0.99499,             0.93142,            0.007508,           0.0023009,                   0,          0.00065796,          0.00065796,          0.00065796
                   8,            0.010359,           0.0034923,                   0,             0.99905,             0.99992,             0.99499,             0.93098,           0.0076261,           0.0023072,                   0,          0.00055674,          0.00055674,          0.00055674
                   9,            0.010003,           0.0034075,                   0,             0.99923,             0.99987,             0.99499,             0.93105,           0.0076902,           0.0023089,                   0,          0.00045326,          0.00045326,          0.00045326
                  10,           0.0096913,           0.0033329,                   0,             0.99925,             0.99989,             0.99499,             0.93151,           0.0076741,           0.0023011,                   0,          0.00035204,          0.00035204,          0.00035204
                  11,           0.0093565,           0.0032423,                   0,             0.99933,             0.99983,             0.99499,             0.93293,           0.0075982,            0.002285,                   0,           0.0002575,           0.0002575,           0.0002575
                  12,           0.0090439,           0.0031735,                   0,             0.99945,             0.99983,             0.99499,              0.9356,           0.0074685,           0.0022638,                   0,          0.00017378,          0.00017378,          0.00017378
                  13,           0.0087338,           0.0030993,                   0,              0.9995,              0.9999,             0.99499,             0.93846,           0.0073247,           0.0022407,                   0,          0.00010454,          0.00010454,          0.00010454
                  14,           0.0084869,           0.0030473,                   0,              0.9996,             0.99987,             0.99499,             0.94115,           0.0071898,           0.0022184,                   0,          5.2795e-05,          5.2795e-05,          5.2795e-05
